image,percentage,kondisi
1719730171.585951,24.45,tidak ramai
1719730174.865319,24.43,tidak ramai
1719730178.1615932,24.42,tidak ramai
1719730181.3097,24.37,tidak ramai
1719730184.396113,24.46,tidak ramai
1719730187.544437,24.47,tidak ramai
1719730190.65239,24.37,tidak ramai
1719730194.034938,23.85,tidak ramai
1719730197.762646,24.9,tidak ramai
1719730201.464797,24.4,tidak ramai
1719730205.015148,24.04,tidak ramai
1719730208.40781,23.55,tidak ramai
1719730211.8672252,23.53,tidak ramai
1719730215.259928,23.02,tidak ramai
1719730219.480629,23.29,tidak ramai
1719730223.14874,22.87,tidak ramai
1719730226.497458,22.45,tidak ramai
1719730230.648414,22.88,tidak ramai
1719730233.931409,22.19,tidak ramai
1719730237.12512,22.33,tidak ramai
1719730240.574731,21.85,tidak ramai
1719730244.0286038,22.02,tidak ramai
1719730247.210881,21.62,tidak ramai
1719730250.513569,21.44,tidak ramai
1719730253.65071,20.96,tidak ramai
1719730256.762929,19.08,tidak ramai
1719730260.0440729,18.99,tidak ramai
1719730263.4513652,18.91,tidak ramai
1719730266.6764429,43.37,ramai
1719730269.759284,43.3,ramai
1719730272.8611908,43.96,ramai
1719730276.161699,44.07,ramai
1719730279.712498,44.15,ramai
1719730283.154586,43.68,ramai
1719730286.4909241,44.07,ramai
1719730289.704978,45.14,ramai
1719730292.807961,45.33,ramai
1719730296.105161,45.38,ramai
1719730299.170491,43.66,ramai
1719730302.280784,45.29,ramai
1719730305.4631019,43.81,ramai
1719730308.572317,43.82,ramai
1719730311.864363,43.71,ramai
1719730315.00976,43.98,ramai
1719730318.147257,43.19,ramai
1719730321.390272,41.2,ramai
1719730324.6561651,41.33,ramai
1719730328.100843,41.15,ramai
1719730331.842013,41.45,ramai
1719730335.3173,41.45,ramai
1719730339.469617,40.02,ramai
1719730342.604218,39.87,ramai
1719730345.787862,39.99,ramai
1719730349.2981849,40.08,ramai
1719730352.765075,40.42,ramai
1719730356.270512,40.92,ramai
1719730359.6677551,41.51,ramai
1719730362.924556,41.81,ramai
1719730366.159319,42.3,ramai
1719730369.730536,41.99,ramai
1719730373.131592,41.89,ramai
1719730376.531275,42.12,ramai
1719730380.1246011,40.84,ramai
1719730383.507067,41.64,ramai
1719730386.979676,41.87,ramai
1719730390.538081,42.06,ramai
1719730393.6686678,42.89,ramai
1719730396.956905,42.36,ramai
1719730400.480741,43.53,ramai
1719730403.9003708,43.89,ramai
1719730407.421361,44.19,ramai
1719730411.249239,44.58,ramai
1719730414.568925,44.85,ramai
1719730418.450359,45.38,ramai
1719730421.832499,44.35,ramai
1719730425.092911,44.32,ramai
1719730428.5187578,45.17,ramai
1719730431.824351,45.43,ramai
1719730435.062739,29.87,tidak ramai
1719730438.526502,29.79,tidak ramai
1719730442.32194,29.77,tidak ramai
1719730446.318609,29.75,tidak ramai
1719730450.506155,30.08,ramai
1719730454.5496662,29.57,tidak ramai
1719730458.5870981,29.67,tidak ramai
1719730462.6066828,29.89,tidak ramai
1719730466.276962,30.26,ramai
1719730470.07248,29.71,tidak ramai
1719730473.6815639,29.54,tidak ramai
1719730477.266038,28.85,tidak ramai
1719730480.599592,27.61,tidak ramai
1719730484.835814,29.07,tidak ramai
1719730488.381332,27.54,tidak ramai
1719730491.620883,27.3,tidak ramai
1719730495.28938,27.87,tidak ramai
1719730499.659575,27.6,tidak ramai
1719730503.981212,26.04,tidak ramai
1719730507.2292962,25.73,tidak ramai
1719730510.3664372,25.46,tidak ramai
1719730513.4431949,25.15,tidak ramai
