image,percentage,kondisi
1719729992.003842,18.43,tidak ramai
1719729993.645744,18.98,tidak ramai
1719729995.4990962,18.89,tidak ramai
1719729997.110841,19.72,tidak ramai
1719729998.7802932,20.45,tidak ramai
1719730000.452849,20.43,tidak ramai
1719730002.10501,21.18,tidak ramai
1719730003.8175528,20.22,tidak ramai
1719730005.4693792,20.12,tidak ramai
1719730007.1076,20.44,tidak ramai
1719730009.0745,20.56,tidak ramai
1719730010.689041,20.89,tidak ramai
1719730012.500989,20.8,tidak ramai
1719730014.236348,20.9,tidak ramai
1719730015.8523881,20.53,tidak ramai
1719730017.4762938,20.87,tidak ramai
1719730019.0894132,20.9,tidak ramai
1719730020.8484008,22.15,tidak ramai
1719730022.5613399,22.01,tidak ramai
1719730024.226881,21.92,tidak ramai
1719730026.104675,21.28,tidak ramai
1719730027.8548741,21.19,tidak ramai
1719730029.999079,20.5,tidak ramai
1719730033.854456,21.05,tidak ramai
1719730035.7600799,20.27,tidak ramai
1719730037.405087,20.34,tidak ramai
1719730039.618639,20.1,tidak ramai
1719730041.451093,19.89,tidak ramai
1719730043.3597429,12.13,tidak ramai
1719730045.17488,11.89,tidak ramai
1719730046.94696,11.73,tidak ramai
1719730048.7658691,11.5,tidak ramai
1719730050.395745,11.25,tidak ramai
1719730052.059443,11.35,tidak ramai
1719730053.811112,11.27,tidak ramai
1719730055.433408,10.81,tidak ramai
1719730057.066656,10.22,tidak ramai
1719730058.6835358,9.67,tidak ramai
1719730060.3311481,8.87,tidak ramai
1719730062.3780138,9.26,tidak ramai
1719730064.021733,8.36,tidak ramai
1719730065.647594,8.22,tidak ramai
1719730067.294436,8.31,tidak ramai
1719730069.211046,8.41,tidak ramai
1719730070.890767,8.59,tidak ramai
1719730072.548697,8.81,tidak ramai
1719730074.189719,9.06,tidak ramai
1719730075.8720262,9.09,tidak ramai
1719730077.538165,9.36,tidak ramai
1719730079.15202,9.44,tidak ramai
1719730080.7842329,9.38,tidak ramai
1719730082.720382,9.29,tidak ramai
1719730084.498858,9.26,tidak ramai
1719730086.203307,9.27,tidak ramai
1719730087.852273,9.25,tidak ramai
1719730089.474915,9.18,tidak ramai
1719730091.106553,9.1,tidak ramai
1719730092.7255738,8.72,tidak ramai
1719730094.3599339,8.61,tidak ramai
1719730096.333042,8.69,tidak ramai
1719730098.382067,8.5,tidak ramai
1719730100.091986,8.04,tidak ramai
1719730101.7062101,7.81,tidak ramai
1719730103.432374,7.45,tidak ramai
1719730105.110879,7.3,tidak ramai
1719730106.7406988,7.3,tidak ramai
1719730108.3936179,7.3,tidak ramai
1719730110.024724,7.32,tidak ramai
1719730111.747377,7.37,tidak ramai
1719730113.371604,7.47,tidak ramai
1719730115.138259,7.39,tidak ramai
1719730116.9811141,7.57,tidak ramai
1719730118.699405,7.66,tidak ramai
1719730120.8595998,7.63,tidak ramai
1719730122.4776561,7.77,tidak ramai
1719730124.2268538,7.69,tidak ramai
1719730125.847977,7.85,tidak ramai
1719730127.5037708,8.01,tidak ramai
1719730129.2356071,24.86,tidak ramai
1719730130.8890939,25.34,tidak ramai
1719730132.543651,25.46,tidak ramai
1719730134.198557,25.56,tidak ramai
1719730135.924221,25.97,tidak ramai
1719730137.739445,26.58,tidak ramai
1719730139.489046,26.95,tidak ramai
1719730141.165361,27.45,tidak ramai
1719730142.885644,27.73,tidak ramai
1719730144.600479,27.7,tidak ramai
1719730146.205445,27.62,tidak ramai
1719730147.935665,27.53,tidak ramai
1719730149.551599,27.19,tidak ramai
1719730151.170088,27.2,tidak ramai
1719730152.7993522,27.67,tidak ramai
1719730154.47331,28.11,tidak ramai
1719730156.292492,27.47,tidak ramai
1719730158.749213,26.85,tidak ramai
1719730160.472848,26.58,tidak ramai
1719730162.1789498,25.85,tidak ramai
1719730163.816056,25.66,tidak ramai
1719730165.5986922,25.71,tidak ramai
