image,percentage,kondisi
1719729718.679722,39.96,ramai
1719729719.964976,40.47,ramai
1719729721.4060218,40.32,ramai
1719729722.651034,40.16,ramai
1719729723.841662,39.83,ramai
1719729725.162774,40.16,ramai
1719729726.31071,37.6,ramai
1719729727.5301409,36.41,ramai
1719729728.743787,35.53,ramai
1719729729.948926,34.52,ramai
1719729731.150403,33.87,ramai
1719729732.359686,33.07,ramai
1719729733.541419,30.93,ramai
1719729734.5457332,31.38,ramai
1719729735.706584,30.98,ramai
1719729736.826004,31.81,ramai
1719729737.916095,32.33,ramai
1719729739.028183,32.92,ramai
1719729740.233632,32.98,ramai
1719729741.4177248,32.76,ramai
1719729742.5997388,32.7,ramai
1719729743.807255,33.26,ramai
1719729744.810786,34.01,ramai
1719729745.997557,34.51,ramai
1719729747.185706,35.09,ramai
1719729748.372065,35.79,ramai
1719729749.645445,37.22,ramai
1719729750.843287,38.39,ramai
1719729752.046386,34.68,ramai
1719729753.247724,35.65,ramai
1719729754.318219,36.22,ramai
1719729755.499862,36.96,ramai
1719729756.785878,37.61,ramai
1719729757.9907358,39.13,ramai
1719729759.1800268,39.53,ramai
1719729760.364535,40.57,ramai
1719729761.57184,41.41,ramai
1719729762.854999,41.33,ramai
1719729764.1058729,41.72,ramai
1719729765.655002,42.35,ramai
1719729766.8414562,42.73,ramai
1719729768.060056,54.06,ramai
1719729769.315951,54.0,ramai
1719729770.5152209,53.94,ramai
1719729771.624637,53.37,ramai
1719729772.838337,53.26,ramai
1719729774.042627,51.57,ramai
1719729775.250035,48.06,ramai
1719729776.45429,48.06,ramai
1719729777.6676521,45.35,ramai
1719729778.882029,44.07,ramai
1719729780.084801,43.47,ramai
1719729781.15049,43.29,ramai
1719729782.397949,42.92,ramai
1719729783.559924,34.42,ramai
1719729784.83824,34.92,ramai
1719729786.0486798,34.69,ramai
1719729787.3514209,36.27,ramai
1719729788.55585,37.39,ramai
1719729789.569761,38.01,ramai
1719729790.759974,38.79,ramai
1719729791.970154,39.4,ramai
1719729793.157488,40.32,ramai
1719729794.3337631,40.16,ramai
1719729795.5467892,40.98,ramai
1719729796.8369439,42.42,ramai
1719729798.1223402,41.79,ramai
1719729799.31421,27.37,tidak ramai
1719729800.54971,26.54,tidak ramai
1719729801.760297,26.23,tidak ramai
1719729802.958498,26.09,tidak ramai
1719729804.168889,26.79,tidak ramai
1719729805.365389,28.01,tidak ramai
1719729806.5896351,29.06,tidak ramai
1719729807.855458,29.6,tidak ramai
1719729808.9785001,30.08,ramai
1719729810.187655,30.02,ramai
1719729811.397784,30.27,ramai
1719729812.6967528,30.12,ramai
1719729813.717119,30.03,ramai
1719729814.9129238,23.82,tidak ramai
1719729815.918922,24.76,tidak ramai
1719729817.1481411,23.72,tidak ramai
1719729818.40876,22.97,tidak ramai
1719729819.6093838,22.81,tidak ramai
1719729820.802489,23.45,tidak ramai
1719729821.9866529,22.97,tidak ramai
1719729823.180253,23.0,tidak ramai
1719729824.370073,23.1,tidak ramai
1719729825.4694169,23.43,tidak ramai
1719729826.663819,24.1,tidak ramai
1719729827.8772202,23.7,tidak ramai
1719729829.173523,24.9,tidak ramai
1719729830.434765,18.71,tidak ramai
1719729831.709474,18.8,tidak ramai
1719729832.948176,18.83,tidak ramai
1719729834.152736,18.15,tidak ramai
1719729835.35796,18.01,tidak ramai
1719729836.5382311,16.87,tidak ramai
1719729837.7252429,17.01,tidak ramai
