image,percentage,kondisi
1719729840.2820191,16.96,tidak ramai
1719729841.73249,17.58,tidak ramai
1719729843.18711,17.58,tidak ramai
1719729844.664104,17.25,tidak ramai
1719729846.087733,17.99,tidak ramai
1719729847.623507,18.47,tidak ramai
1719729849.1365151,19.42,tidak ramai
1719729850.631507,19.85,tidak ramai
1719729852.065164,20.15,tidak ramai
1719729853.719685,19.33,tidak ramai
1719729855.67303,19.37,tidak ramai
1719729857.082356,20.26,tidak ramai
1719729858.086766,19.44,tidak ramai
1719729859.716096,24.32,tidak ramai
1719729861.187814,24.03,tidak ramai
1719729862.7253351,24.26,tidak ramai
1719729864.19417,23.79,tidak ramai
1719729865.641835,23.36,tidak ramai
1719729867.062413,22.84,tidak ramai
1719729868.605976,22.43,tidak ramai
1719729869.641515,22.17,tidak ramai
1719729871.067001,21.74,tidak ramai
1719729872.546159,21.46,tidak ramai
1719729873.989022,21.13,tidak ramai
1719729875.430711,18.76,tidak ramai
1719729876.969224,18.71,tidak ramai
1719729878.40133,18.83,tidak ramai
1719729879.834878,19.29,tidak ramai
1719729881.256732,19.71,tidak ramai
1719729882.68714,20.08,tidak ramai
1719729884.129152,19.93,tidak ramai
1719729885.541829,20.1,tidak ramai
1719729887.179167,19.78,tidak ramai
1719729888.703903,19.79,tidak ramai
1719729890.185834,20.09,tidak ramai
1719729891.713278,20.39,tidak ramai
1719729893.396587,20.87,tidak ramai
1719729895.096361,21.11,tidak ramai
1719729896.552593,21.19,tidak ramai
1719729898.00126,32.91,ramai
1719729899.4233952,33.4,ramai
1719729900.909863,34.14,ramai
1719729902.325783,34.23,ramai
1719729904.396663,34.21,ramai
1719729905.924242,34.06,ramai
1719729907.516143,33.29,ramai
1719729909.156089,33.57,ramai
1719729910.596139,33.16,ramai
1719729912.0750651,31.88,ramai
1719729913.497876,31.19,ramai
1719729914.9842129,30.28,ramai
1719729916.395644,29.96,tidak ramai
1719729917.958146,28.82,tidak ramai
1719729919.5282938,29.27,tidak ramai
1719729920.948074,27.48,tidak ramai
1719729922.7234602,27.22,tidak ramai
1719729924.245871,27.04,tidak ramai
1719729925.793529,25.66,tidak ramai
1719729927.196109,24.88,tidak ramai
1719729928.730043,24.67,tidak ramai
1719729930.156775,23.69,tidak ramai
1719729932.000989,23.9,tidak ramai
1719729933.453888,23.02,tidak ramai
1719729934.880169,21.19,tidak ramai
1719729936.309943,33.86,ramai
1719729937.763798,32.5,ramai
1719729939.2626472,32.53,ramai
1719729940.909884,32.54,ramai
1719729942.325402,31.65,ramai
1719729943.737846,31.19,ramai
1719729945.150677,30.73,ramai
1719729946.66146,30.2,ramai
1719729948.204312,29.87,tidak ramai
1719729949.6705658,27.23,tidak ramai
1719729951.125546,27.99,tidak ramai
1719729952.617903,28.32,tidak ramai
1719729954.04117,29.03,tidak ramai
1719729955.478553,29.85,tidak ramai
1719729956.9004512,29.94,tidak ramai
1719729958.6629179,30.74,ramai
1719729960.129793,31.42,ramai
1719729961.5759501,32.27,ramai
1719729963.004543,32.87,ramai
1719729964.409811,33.99,ramai
1719729965.814375,34.48,ramai
1719729967.268781,35.57,ramai
1719729969.0298922,36.0,ramai
1719729970.4376361,36.53,ramai
1719729971.8867688,37.52,ramai
1719729973.304874,21.93,tidak ramai
1719729974.9707232,20.38,tidak ramai
1719729976.469837,20.64,tidak ramai
1719729978.095096,19.67,tidak ramai
1719729979.509429,19.8,tidak ramai
1719729980.903807,19.32,tidak ramai
1719729982.423038,19.36,tidak ramai
1719729983.854829,19.18,tidak ramai
1719729985.2700732,19.2,tidak ramai
1719729986.68284,19.21,tidak ramai
1719729988.099452,18.13,tidak ramai
