image,percentage,kondisi
1719730521.832717,23.99,tidak ramai
1719730526.757045,23.94,tidak ramai
1719730531.8912199,23.32,tidak ramai
1719730536.6132941,22.01,tidak ramai
1719730541.281097,22.07,tidak ramai
1719730545.975581,22.63,tidak ramai
1719730550.7903821,22.87,tidak ramai
1719730556.095849,22.95,tidak ramai
1719730562.4340549,22.78,tidak ramai
1719730569.614325,22.66,tidak ramai
1719730578.934782,22.85,tidak ramai
1719730584.573436,23.2,tidak ramai
1719730589.3437881,23.38,tidak ramai
1719730594.368143,23.2,tidak ramai
1719730599.3743072,22.58,tidak ramai
1719730604.399797,22.81,tidak ramai
1719730610.2125928,22.85,tidak ramai
1719730615.8498769,22.8,tidak ramai
1719730621.6556,22.71,tidak ramai
1719730626.5452218,22.4,tidak ramai
1719730631.261581,22.66,tidak ramai
1719730636.268366,22.87,tidak ramai
1719730642.830396,23.76,tidak ramai
1719730648.417877,23.71,tidak ramai
1719730655.033887,23.17,tidak ramai
1719730660.0479739,22.92,tidak ramai
1719730666.105377,23.03,tidak ramai
1719730672.862371,23.6,tidak ramai
1719730679.072671,25.95,tidak ramai
1719730686.363353,25.73,tidak ramai
1719730691.15975,25.41,tidak ramai
1719730696.341525,24.86,tidak ramai
1719730703.2453241,24.71,tidak ramai
1719730708.522145,24.66,tidak ramai
1719730713.2332559,24.48,tidak ramai
1719730717.801755,24.45,tidak ramai
1719730722.404326,24.46,tidak ramai
1719730727.2200189,23.92,tidak ramai
1719730733.542748,23.79,tidak ramai
1719730738.3926132,23.75,tidak ramai
1719730743.254368,23.39,tidak ramai
1719730748.466769,23.47,tidak ramai
1719730753.630338,23.64,tidak ramai
1719730758.6912792,23.2,tidak ramai
1719730763.422194,23.42,tidak ramai
1719730768.247097,23.2,tidak ramai
1719730773.11254,23.62,tidak ramai
1719730777.715969,23.91,tidak ramai
1719730782.531191,23.9,tidak ramai
1719730787.102687,23.76,tidak ramai
1719730791.9062662,23.76,tidak ramai
1719730796.558152,23.8,tidak ramai
1719730801.391722,24.01,tidak ramai
1719730806.6320431,23.97,tidak ramai
1719730811.4085052,23.98,tidak ramai
1719730816.207254,24.12,tidak ramai
1719730821.0441039,24.15,tidak ramai
1719730825.803327,24.26,tidak ramai
1719730830.5201569,24.22,tidak ramai
1719730835.162546,24.8,tidak ramai
1719730839.841207,24.37,tidak ramai
1719730844.45701,23.83,tidak ramai
1719730849.469156,24.44,tidak ramai
1719730854.509183,24.48,tidak ramai
1719730859.347754,24.62,tidak ramai
1719730863.745472,24.05,tidak ramai
1719730868.294813,24.06,tidak ramai
1719730872.893038,24.08,tidak ramai
1719730877.969137,23.93,tidak ramai
1719730882.388779,24.16,tidak ramai
1719730886.941321,23.72,tidak ramai
1719730891.572844,23.74,tidak ramai
1719730896.335797,23.67,tidak ramai
1719730901.2519732,23.56,tidak ramai
1719730905.8776991,23.48,tidak ramai
1719730911.010358,23.86,tidak ramai
1719730915.997341,23.59,tidak ramai
1719730920.5562508,23.78,tidak ramai
1719730925.394945,18.79,tidak ramai
1719730930.033083,18.92,tidak ramai
1719730935.134619,18.78,tidak ramai
1719730940.172819,19.11,tidak ramai
1719730946.095702,19.35,tidak ramai
1719730950.707408,19.45,tidak ramai
1719730955.593614,19.15,tidak ramai
1719730960.129078,19.15,tidak ramai
1719730964.839113,19.38,tidak ramai
1719730969.3436632,19.61,tidak ramai
1719730974.059687,19.36,tidak ramai
1719730978.719604,19.52,tidak ramai
1719730983.460375,19.49,tidak ramai
1719730989.2446442,19.83,tidak ramai
1719730993.8028631,19.6,tidak ramai
1719730998.619576,20.3,tidak ramai
1719731003.13651,20.78,tidak ramai
1719731007.906568,20.01,tidak ramai
1719731012.5180402,23.35,tidak ramai
1719731017.699738,21.69,tidak ramai
1719731023.173256,21.48,tidak ramai
1719731028.877001,22.72,tidak ramai
