Frame,Elapsed Time (s),Area (%),Kondisi
1,8.794649124145508,35.27,ramai
2,3.3968987464904785,35.3,ramai
3,3.1262807846069336,35.59,ramai
4,3.290684938430786,36.19,ramai
5,3.191596031188965,36.61,ramai
6,3.427157163619995,36.79,ramai
7,3.135557174682617,36.97,ramai
8,3.1169610023498535,36.82,ramai
9,3.057793140411377,37.3,ramai
10,3.1847448348999023,37.13,ramai
11,3.15231990814209,37.35,ramai
12,3.122781276702881,37.02,ramai
13,3.3246660232543945,37.07,ramai
14,3.1601250171661377,36.64,ramai
15,3.1421730518341064,36.72,ramai
16,3.1775238513946533,36.8,ramai
17,3.2882282733917236,37.03,ramai
18,3.2321698665618896,35.89,ramai
19,3.368786096572876,35.74,ramai
20,3.9199092388153076,35.48,ramai
21,3.672985792160034,35.03,ramai
22,4.53735089302063,34.94,ramai
23,4.153733968734741,34.83,ramai
24,4.298316955566406,34.67,ramai
25,6.7098119258880615,33.98,ramai
26,3.5950400829315186,33.99,ramai
27,3.3421339988708496,34.11,ramai
28,3.3038508892059326,34.24,ramai
29,3.3215951919555664,34.03,ramai
30,3.324125289916992,33.71,ramai
31,3.246678113937378,33.39,ramai
32,3.3056509494781494,33.82,ramai
33,3.3980560302734375,33.84,ramai
34,3.622361183166504,33.86,ramai
35,3.4222569465637207,33.51,ramai
36,5.171326160430908,33.59,ramai
37,5.062489032745361,34.01,ramai
38,3.7712650299072266,33.69,ramai
39,4.231712818145752,33.57,ramai
40,6.421740770339966,33.38,ramai
41,3.723628044128418,32.96,ramai
42,3.571554183959961,32.67,ramai
43,3.447490930557251,32.35,ramai
44,3.995311737060547,32.12,ramai
45,4.117364168167114,31.81,ramai
46,3.4544529914855957,31.43,ramai
47,3.492919921875,31.35,ramai
48,3.37979793548584,30.68,ramai
49,3.2974228858947754,30.3,ramai
50,3.4141619205474854,29.98,tidak ramai
51,3.4825289249420166,29.61,tidak ramai
52,3.3615376949310303,29.65,tidak ramai
53,3.4011311531066895,29.31,tidak ramai
54,3.2451419830322266,28.88,tidak ramai
55,3.1526691913604736,28.85,tidak ramai
56,3.095003128051758,28.26,tidak ramai
