Frame,Elapsed Time (s),Area (%),Kondisi
1,6.912014961242676,35.1,ramai
2,1.8298368453979492,35.4,ramai
3,1.5632340908050537,35.67,ramai
4,1.5894289016723633,36.21,ramai
5,2.2589001655578613,36.24,ramai
6,2.226468086242676,36.54,ramai
7,1.7313027381896973,36.62,ramai
8,1.8877160549163818,37.14,ramai
9,1.8547027111053467,37.27,ramai
10,1.7759130001068115,37.29,ramai
11,1.6587448120117188,37.23,ramai
12,1.730315923690796,37.34,ramai
13,1.704192876815796,37.29,ramai
14,1.9212820529937744,37.13,ramai
15,1.6752188205718994,36.86,ramai
16,1.7432053089141846,36.64,ramai
17,1.8078207969665527,36.09,ramai
18,1.7347147464752197,35.9,ramai
19,2.4863758087158203,35.73,ramai
20,2.208003044128418,35.23,ramai
21,1.8117969036102295,34.98,ramai
22,1.9510071277618408,34.99,ramai
23,1.760986089706421,34.54,ramai
24,1.6797261238098145,34.2,ramai
25,1.6694860458374023,34.11,ramai
26,1.64481782913208,34.51,ramai
27,1.715149164199829,34.43,ramai
28,1.7839012145996094,34.23,ramai
29,1.8527381420135498,34.15,ramai
30,1.7363049983978271,34.47,ramai
31,1.709402084350586,33.84,ramai
32,1.7015900611877441,34.0,ramai
33,1.7994780540466309,33.61,ramai
34,1.776554822921753,33.71,ramai
35,1.8638968467712402,33.65,ramai
36,1.7511718273162842,33.62,ramai
37,1.6401989459991455,33.68,ramai
38,1.7895331382751465,33.6,ramai
39,1.7977018356323242,33.47,ramai
40,1.6125447750091553,33.22,ramai
41,1.7988791465759277,32.91,ramai
42,1.715811014175415,32.87,ramai
43,1.76176118850708,32.45,ramai
44,1.791611909866333,32.11,ramai
45,1.7115790843963623,31.6,ramai
46,1.7874257564544678,31.2,ramai
47,1.8856480121612549,31.08,ramai
48,1.8994250297546387,30.8,ramai
49,2.2404961585998535,30.68,ramai
50,1.7474439144134521,29.99,tidak ramai
51,1.8131489753723145,29.65,tidak ramai
52,1.967987060546875,29.44,tidak ramai
53,2.234929084777832,29.26,tidak ramai
54,3.1170802116394043,28.73,tidak ramai
55,2.760561227798462,28.87,tidak ramai
56,2.412048816680908,28.4,tidak ramai
57,2.120620012283325,27.89,tidak ramai
58,2.2965140342712402,27.44,tidak ramai
59,2.480719804763794,26.81,tidak ramai
60,2.5435571670532227,26.12,tidak ramai
61,2.2597920894622803,25.92,tidak ramai
62,2.0186729431152344,25.22,tidak ramai
63,2.034682273864746,24.66,tidak ramai
64,1.9415240287780762,23.34,tidak ramai
65,1.9058680534362793,22.98,tidak ramai
66,1.8996639251708984,22.79,tidak ramai
67,2.067188024520874,22.71,tidak ramai
68,2.1221189498901367,22.6,tidak ramai
69,2.034987211227417,22.4,tidak ramai
70,1.9603638648986816,22.5,tidak ramai
71,1.992922067642212,22.02,tidak ramai
72,1.966148853302002,21.9,tidak ramai
73,2.0776212215423584,21.6,tidak ramai
74,2.185119867324829,21.32,tidak ramai
75,2.192244052886963,21.13,tidak ramai
76,2.1728529930114746,20.81,tidak ramai
77,2.067356824874878,20.84,tidak ramai
78,2.170482873916626,21.05,tidak ramai
79,2.0394110679626465,21.13,tidak ramai
80,1.9330990314483643,21.07,tidak ramai
81,1.882951259613037,20.99,tidak ramai
82,1.9898390769958496,20.63,tidak ramai
83,2.211552858352661,21.03,tidak ramai
84,2.4328410625457764,20.78,tidak ramai
85,2.5375449657440186,20.98,tidak ramai
86,2.2262561321258545,21.33,tidak ramai
87,2.044271230697632,21.73,tidak ramai
88,1.8805382251739502,21.79,tidak ramai
89,1.812486171722412,22.09,tidak ramai
90,1.8262500762939453,22.22,tidak ramai
91,1.94281005859375,22.38,tidak ramai
92,1.8796131610870361,22.37,tidak ramai
93,1.943579912185669,22.72,tidak ramai
94,2.0719962120056152,22.91,tidak ramai
95,3.690047025680542,23.08,tidak ramai
96,2.2899739742279053,23.35,tidak ramai
97,2.6862261295318604,23.74,tidak ramai
98,2.3458189964294434,23.95,tidak ramai
99,2.0915729999542236,24.34,tidak ramai
100,1.8748857975006104,24.53,tidak ramai
101,2.3125102519989014,24.84,tidak ramai
102,2.641000986099243,24.56,tidak ramai
103,2.1121301651000977,24.6,tidak ramai
104,2.2202751636505127,25.04,tidak ramai
105,2.296600818634033,25.37,tidak ramai
106,2.523216962814331,25.43,tidak ramai
107,2.708559274673462,25.79,tidak ramai
108,2.7556679248809814,25.79,tidak ramai
109,2.9778239727020264,25.98,tidak ramai
110,2.7575161457061768,26.24,tidak ramai
111,2.5371739864349365,26.84,tidak ramai
112,2.5209879875183105,27.02,tidak ramai
113,2.389019012451172,27.73,tidak ramai
114,1.9378430843353271,27.99,tidak ramai
115,2.0009357929229736,28.4,tidak ramai
116,2.340312957763672,28.87,tidak ramai
117,2.2136731147766113,29.03,tidak ramai
118,2.50298810005188,29.55,tidak ramai
119,2.791651725769043,29.96,tidak ramai
120,2.244974136352539,30.25,ramai
121,1.9861397743225098,30.6,ramai
122,2.015911817550659,31.07,ramai
123,1.8674509525299072,31.53,ramai
124,1.9051580429077148,32.03,ramai
125,2.265819787979126,32.43,ramai
126,2.6960997581481934,33.26,ramai
127,3.703413963317871,33.77,ramai
128,5.451756000518799,34.04,ramai
129,3.1273200511932373,34.54,ramai
130,5.837058067321777,34.77,ramai
131,2.5638017654418945,34.95,ramai
132,3.347975015640259,34.99,ramai
133,2.3854563236236572,35.32,ramai
134,2.06960391998291,35.56,ramai
135,2.6147427558898926,35.81,ramai
136,2.1768996715545654,35.9,ramai
137,2.0648369789123535,35.77,ramai
138,2.022974967956543,35.72,ramai
139,2.0461509227752686,36.0,ramai
140,2.474289894104004,35.74,ramai
141,4.01326322555542,35.37,ramai
142,3.2138681411743164,35.74,ramai
143,2.304680109024048,35.86,ramai
144,2.0376698970794678,36.29,ramai
145,1.8758399486541748,36.25,ramai
146,1.7939491271972656,36.19,ramai
147,1.841275930404663,36.15,ramai
148,1.853654146194458,36.42,ramai
149,1.8284950256347656,35.86,ramai
150,1.99013090133667,35.59,ramai
151,2.353562116622925,35.87,ramai
152,2.2413268089294434,35.53,ramai
153,2.39202618598938,34.98,ramai
154,2.51680588722229,34.26,ramai
155,2.0162317752838135,34.09,ramai
156,1.8439149856567383,34.1,ramai
157,1.8951849937438965,33.4,ramai
158,1.7874031066894531,33.62,ramai
159,1.8994479179382324,33.38,ramai
160,1.8615989685058594,32.44,ramai
161,1.7764101028442383,31.32,ramai
162,2.2012059688568115,32.13,ramai
163,2.0266010761260986,31.4,ramai
164,2.0688791275024414,30.67,ramai
165,2.2492010593414307,30.24,ramai
166,2.604748010635376,30.24,ramai
167,2.051348924636841,30.1,ramai
168,1.9452669620513916,29.38,tidak ramai
169,1.9277522563934326,29.35,tidak ramai
170,1.8673079013824463,29.46,tidak ramai
171,1.8835070133209229,29.46,tidak ramai
172,2.3121910095214844,29.3,tidak ramai
173,2.139375925064087,29.27,tidak ramai
174,2.1131370067596436,29.24,tidak ramai
175,4.998292922973633,29.4,tidak ramai
176,2.5656418800354004,29.58,tidak ramai
177,2.3692190647125244,29.81,tidak ramai
178,2.0502028465270996,30.21,ramai
179,2.1772711277008057,30.25,ramai
