Frame,Elapsed Time (s),Area (%),Kondisi
1,3.6054561138153076,35.47,ramai
2,0.5642549991607666,35.7,ramai
3,0.3476409912109375,35.83,ramai
4,0.3042728900909424,36.29,ramai
5,0.2805769443511963,36.51,ramai
6,0.5205979347229004,36.93,ramai
7,0.2817096710205078,36.85,ramai
8,0.28046607971191406,37.14,ramai
9,0.2815060615539551,37.17,ramai
10,0.2875058650970459,37.45,ramai
11,0.29828715324401855,37.19,ramai
12,0.29840588569641113,37.1,ramai
13,0.2832481861114502,37.17,ramai
14,0.2900230884552002,37.24,ramai
15,0.28916406631469727,37.08,ramai
16,0.2883150577545166,36.93,ramai
17,0.28356099128723145,36.84,ramai
18,0.28803205490112305,36.52,ramai
19,0.28755712509155273,35.6,ramai
20,0.2825779914855957,35.38,ramai
21,0.28626108169555664,35.41,ramai
22,0.27713894844055176,35.78,ramai
23,0.2822399139404297,35.61,ramai
24,0.27967000007629395,35.18,ramai
25,0.27467799186706543,34.53,ramai
26,0.2815108299255371,35.12,ramai
27,0.2881169319152832,35.09,ramai
28,0.27791833877563477,34.86,ramai
29,0.28031182289123535,34.94,ramai
30,0.28076696395874023,34.59,ramai
31,0.2789909839630127,34.65,ramai
32,0.28270983695983887,34.61,ramai
33,0.28237009048461914,34.31,ramai
34,0.27701306343078613,34.03,ramai
35,0.2744157314300537,34.3,ramai
36,0.30693507194519043,34.8,ramai
37,0.2777411937713623,34.22,ramai
38,0.2743661403656006,33.75,ramai
39,0.28880882263183594,33.97,ramai
40,0.27948713302612305,33.81,ramai
41,0.27254605293273926,33.67,ramai
42,0.28731608390808105,33.13,ramai
43,0.2745048999786377,32.72,ramai
44,0.2947688102722168,32.68,ramai
45,0.27645087242126465,32.19,ramai
46,0.2762620449066162,31.92,ramai
47,0.272097110748291,31.64,ramai
48,0.2767140865325928,31.39,ramai
49,0.2733151912689209,30.8,ramai
50,0.29128313064575195,30.27,ramai
51,0.32880091667175293,30.11,ramai
52,0.3893568515777588,29.83,tidak ramai
53,0.2821228504180908,29.62,tidak ramai
54,0.302872896194458,29.19,tidak ramai
55,0.28212475776672363,28.88,tidak ramai
56,0.28061795234680176,28.63,tidak ramai
57,0.2848081588745117,27.85,tidak ramai
58,0.2761270999908447,27.79,tidak ramai
59,0.2780458927154541,27.14,tidak ramai
60,0.2809419631958008,26.65,tidak ramai
61,0.30051493644714355,25.91,tidak ramai
62,0.29514002799987793,25.38,tidak ramai
63,0.2894010543823242,24.72,tidak ramai
64,0.28891897201538086,24.33,tidak ramai
65,0.3047480583190918,23.05,tidak ramai
66,0.28635597229003906,23.07,tidak ramai
67,0.300137996673584,22.65,tidak ramai
68,0.2812671661376953,22.71,tidak ramai
69,0.27504515647888184,22.71,tidak ramai
70,0.28864002227783203,22.47,tidak ramai
71,0.28009986877441406,22.39,tidak ramai
72,0.3033621311187744,21.92,tidak ramai
73,0.28024792671203613,21.74,tidak ramai
74,0.2823340892791748,21.54,tidak ramai
75,0.27693986892700195,20.95,tidak ramai
76,0.28377604484558105,20.88,tidak ramai
77,0.2806370258331299,20.94,tidak ramai
78,0.28520894050598145,21.18,tidak ramai
79,0.3057830333709717,21.26,tidak ramai
80,0.2802770137786865,21.27,tidak ramai
81,0.28287386894226074,21.04,tidak ramai
