Frame,Elapsed Time (s),Area (%),Kondisi
1,12.230491161346436,35.08,ramai
2,5.072890043258667,35.26,ramai
3,4.5638580322265625,35.96,ramai
4,5.823853015899658,36.36,ramai
5,6.04934287071228,36.51,ramai
6,5.526200294494629,36.43,ramai
7,5.203543186187744,36.82,ramai
8,4.793973207473755,36.86,ramai
9,4.910900115966797,37.12,ramai
10,5.022122859954834,37.25,ramai
11,6.027127981185913,37.3,ramai
12,6.6460607051849365,37.63,ramai
13,5.679694175720215,37.48,ramai
14,5.663303852081299,37.13,ramai
15,9.39354395866394,37.12,ramai
16,5.445946216583252,37.01,ramai
17,6.442569971084595,36.69,ramai
18,7.63860821723938,36.08,ramai
19,22.03006410598755,35.66,ramai
20,10.144376039505005,35.11,ramai
21,9.267596006393433,35.03,ramai
22,9.576009035110474,35.2,ramai
23,5.946797132492065,34.97,ramai
24,7.158433198928833,34.82,ramai
25,5.149521827697754,34.4,ramai
26,4.925668239593506,34.6,ramai
27,5.009150981903076,34.4,ramai
28,5.070965051651001,34.59,ramai
29,5.226780891418457,34.22,ramai
30,5.146204233169556,34.33,ramai
31,5.535465955734253,33.86,ramai
32,5.275992155075073,34.02,ramai
33,8.934485912322998,33.77,ramai
34,10.47282600402832,33.72,ramai
35,11.916449069976807,33.66,ramai
36,11.007177114486694,33.63,ramai
37,10.926848888397217,33.42,ramai
38,10.604480981826782,33.29,ramai
39,9.736547946929932,33.29,ramai
40,5.567458152770996,33.09,ramai
41,4.803852081298828,32.97,ramai
42,4.672002792358398,32.73,ramai
43,4.605415105819702,32.45,ramai
44,5.009799003601074,31.96,ramai
45,4.667311191558838,31.71,ramai
46,4.530359745025635,31.48,ramai
47,4.613364934921265,31.13,ramai
48,4.518599033355713,30.63,ramai
49,4.567754030227661,30.21,ramai
50,4.454490900039673,29.9,tidak ramai
51,4.547952890396118,29.35,tidak ramai
52,4.459980726242065,29.12,tidak ramai
53,4.930021047592163,29.3,tidak ramai
54,4.498907804489136,28.61,tidak ramai
55,4.49688196182251,28.79,tidak ramai
56,4.530972003936768,28.19,tidak ramai
57,4.448425054550171,27.98,tidak ramai
58,4.825956106185913,27.35,tidak ramai
59,7.2145068645477295,26.77,tidak ramai
60,5.376971960067749,26.48,tidak ramai
61,5.744641065597534,25.81,tidak ramai
62,5.114912033081055,25.04,tidak ramai
63,4.576944828033447,24.6,tidak ramai
64,4.5518529415130615,23.28,tidak ramai
65,4.596744060516357,23.05,tidak ramai
66,4.605350017547607,22.72,tidak ramai
67,5.279595851898193,22.59,tidak ramai
68,4.603547811508179,22.81,tidak ramai
69,4.668431043624878,22.69,tidak ramai
70,4.707532167434692,22.13,tidak ramai
71,4.6186370849609375,22.07,tidak ramai
72,4.524388790130615,21.78,tidak ramai
73,4.717945098876953,21.7,tidak ramai
74,4.702683210372925,21.44,tidak ramai
75,4.476794242858887,21.11,tidak ramai
76,4.49120306968689,20.87,tidak ramai
77,4.591464042663574,20.93,tidak ramai
78,5.267546892166138,21.08,tidak ramai
79,5.267319679260254,21.1,tidak ramai
80,4.999143123626709,20.69,tidak ramai
81,4.719563007354736,21.0,tidak ramai
82,4.66503119468689,20.69,tidak ramai
83,4.688283920288086,20.59,tidak ramai
84,4.6193718910217285,20.91,tidak ramai
85,4.956841945648193,21.18,tidak ramai
86,4.592003107070923,21.46,tidak ramai
87,4.5794970989227295,21.69,tidak ramai
88,4.54011082649231,21.83,tidak ramai
89,4.568946123123169,22.02,tidak ramai
90,4.790807008743286,22.19,tidak ramai
91,4.714737892150879,22.57,tidak ramai
92,4.858726263046265,22.59,tidak ramai
93,4.724286794662476,22.73,tidak ramai
94,4.609894275665283,22.96,tidak ramai
95,4.848495006561279,23.17,tidak ramai
96,4.540627956390381,23.6,tidak ramai
97,4.494587182998657,23.62,tidak ramai
98,4.579486846923828,24.19,tidak ramai
99,4.4738030433654785,24.18,tidak ramai
100,4.60056209564209,24.53,tidak ramai
101,4.66705584526062,24.74,tidak ramai
102,4.491858959197998,24.21,tidak ramai
103,4.452001094818115,25.01,tidak ramai
104,4.4726457595825195,24.83,tidak ramai
105,4.470081090927124,25.21,tidak ramai
106,4.914402008056641,25.6,tidak ramai
107,4.531316041946411,25.65,tidak ramai
108,4.60561990737915,25.78,tidak ramai
109,4.6027538776397705,25.76,tidak ramai
110,4.578902006149292,26.05,tidak ramai
111,4.641824722290039,26.41,tidak ramai
112,4.566882133483887,26.77,tidak ramai
113,4.597858190536499,27.37,tidak ramai
114,4.494375944137573,27.89,tidak ramai
115,4.530699729919434,28.28,tidak ramai
116,4.58415412902832,28.7,tidak ramai
117,4.498609781265259,29.08,tidak ramai
118,4.673389196395874,29.55,tidak ramai
119,4.659380912780762,29.97,tidak ramai
120,4.5115580558776855,30.4,ramai
121,4.593710899353027,30.52,ramai
122,4.474205017089844,30.96,ramai
123,4.596428155899048,31.65,ramai
124,4.4779088497161865,32.21,ramai
125,4.6564788818359375,32.53,ramai
126,4.4977569580078125,33.31,ramai
127,4.637141942977905,33.7,ramai
128,4.799994945526123,34.04,ramai
129,4.4375410079956055,34.27,ramai
130,4.522471904754639,34.61,ramai
131,4.854980230331421,34.92,ramai
132,4.496088027954102,35.13,ramai
133,4.4755918979644775,35.41,ramai
134,4.48441481590271,35.25,ramai
135,4.638415813446045,35.76,ramai
136,4.704252243041992,35.72,ramai
137,4.50069785118103,35.53,ramai
138,4.459043264389038,35.75,ramai
139,4.548579931259155,35.71,ramai
140,4.490738391876221,35.6,ramai
141,4.534999132156372,35.43,ramai
142,4.574246883392334,35.65,ramai
143,4.492379903793335,35.67,ramai
144,4.846100091934204,35.88,ramai
145,4.822030067443848,35.97,ramai
146,4.5436999797821045,36.56,ramai
147,4.633231163024902,35.85,ramai
148,4.694173812866211,36.0,ramai
149,4.52574610710144,36.08,ramai
150,5.12936806678772,36.21,ramai
151,4.641927003860474,35.97,ramai
152,4.519226312637329,35.6,ramai
153,4.511122941970825,35.0,ramai
154,4.9525909423828125,34.74,ramai
155,4.693675994873047,34.56,ramai
156,4.899364709854126,34.54,ramai
157,4.5244011878967285,33.8,ramai
158,4.721705913543701,33.44,ramai
159,4.601434946060181,32.77,ramai
160,4.474483013153076,32.78,ramai
161,4.617622137069702,31.52,ramai
162,4.596053123474121,32.17,ramai
163,4.6541571617126465,31.81,ramai
164,4.5005409717559814,31.05,ramai
165,4.559845209121704,30.58,ramai
166,4.5114219188690186,30.4,ramai
167,4.748090982437134,30.24,ramai
168,4.49268913269043,29.77,tidak ramai
169,4.586841106414795,29.16,tidak ramai
170,4.631700277328491,29.09,tidak ramai
171,4.598718881607056,29.15,tidak ramai
172,4.711039781570435,29.34,tidak ramai
173,4.472581148147583,29.43,tidak ramai
174,4.556380987167358,29.19,tidak ramai
175,4.682037830352783,29.41,tidak ramai
176,4.56980299949646,29.47,tidak ramai
177,4.702460050582886,29.68,tidak ramai
178,4.524040937423706,29.88,tidak ramai
179,4.615148067474365,30.18,ramai
180,4.706021308898926,30.6,ramai
181,4.61648416519165,30.71,ramai
182,4.595247983932495,31.14,ramai
183,4.6235902309417725,31.34,ramai
184,4.5217320919036865,31.24,ramai
185,4.59325098991394,31.39,ramai
186,4.641869783401489,31.47,ramai
187,4.5413501262664795,31.45,ramai
188,4.560865163803101,31.14,ramai
189,4.664809942245483,31.36,ramai
190,4.5623619556427,31.41,ramai
191,4.573055982589722,31.08,ramai
192,4.71427583694458,31.28,ramai
193,4.562049865722656,31.07,ramai
194,4.559842109680176,30.75,ramai
195,4.626816987991333,30.53,ramai
196,4.591655969619751,30.35,ramai
197,4.6752729415893555,30.09,ramai
198,4.676146745681763,29.97,tidak ramai
199,4.758246183395386,29.77,tidak ramai
200,4.638366222381592,29.62,tidak ramai
201,4.670690059661865,29.68,tidak ramai
202,4.559870004653931,29.73,tidak ramai
203,4.5444841384887695,29.48,tidak ramai
204,4.898279905319214,29.37,tidak ramai
205,4.640620946884155,29.6,tidak ramai
206,4.632131099700928,29.58,tidak ramai
207,4.54890775680542,29.9,tidak ramai
208,4.824754953384399,30.02,ramai
209,4.7762978076934814,29.88,tidak ramai
